deputado;partido;uf;impeachment_dilma;emendas_prometidas;emendas_pagas;voto_temer
Pastor Eurico;PHS;PE;SIM;4839998.63;2485495.15;SIM
Pastor Luciano Braga;PRB;BA;Não estava no cargo;NaN;NaN;NÃO
Patrus Ananias;PT;MG;NÃO;4394102.90;0.00;SIM
Pauderney Avelino;DEM;AM;SIM;4372953.00;0.00;NÃO
Paulão;PT;AL;NÃO;6298775.00;1617426.20;SIM
Paulo Abi-Ackel;PSDB;MG;SIM;10149219.00;889267.14;NÃO
Paulo Azi;DEM;BA;SIM;7552128.00;703491.97;NÃO
Paulo Feijó;PR;RJ;SIM;6569945.00;246717.39;NÃO
Paulo Foletto;PSB;ES;SIM;7169800.00;1825371.33;SIM
Paulo Freire;PR;SP;SIM;6430631.00;4230699.82;NÃO
Paulo Henrique Lustosa;PP;CE;Não estava no cargo;NaN;NaN;NÃO
Paulo Magalhães;PSD;BA;NÃO;7943818.00;1834963.14;SIM
Paulo Maluf;PP;SP;SIM;7433670.00;2846490.77;NÃO
Paulo Pereira da Silva;SD;SP;SIM;6662813.00;2341180.96;NÃO
Paulo Pimenta;PT;RS;NÃO;7918517.76;2450242.56;SIM
Paulo Teixeira;PT;SP;NÃO;4287161.00;2179847.65;SIM
Pedro Chaves;PMDB;GO;SIM;5019447.94;1592562.88;NÃO
Pedro Cunha Lima;PSDB;PB;SIM;6747317.17;264273.14;SIM
Pedro Fernandes;PTB;MA;NÃO;9473641.51;708372.11;NÃO
Pedro Paulo;PMDB;RJ;SIM;10319538.00;0.00;NÃO
Pedro Uczai;PT;SC;NÃO;6194638.00;2902676.67;SIM
Pedro Vilela;PSDB;AL;SIM;7460210.76;0.00;Abstenção
Pepe Vargas;PT;RS;NÃO;5239950.00;4333965.93;SIM
Pollyana Gama;PPS;SP;Não estava no cargo;NaN;NaN;SIM
Pompeo de Mattos;PDT;RS;Abstenção;6546314.78;2784054.92;SIM
Pr. Marcos Feliciano;PSC;SP;SIM;7549076.44;1670125.51;NÃO
Professor Victório Galli;PSC;MT;SIM;0.00;244283.05;NÃO
Professora Dorinha Seabra Rezende;DEM;TO;SIM;6639324.00;640353.65;NÃO
Professora Marcivania;PCdoB;AP;NÃO;5423575.00;323742.41;SIM
Rafael Motta;PSB;RN;SIM;5875262.98;1784524.23;SIM
Raimundo Gomes de Matos;PSDB;CE;SIM;8202229.41;239865.77;Abstenção
Raquel Muniz;PSD;MG;SIM;5380411.84;1627404.97;NÃO
Reginaldo Lopes;PT;MG;NÃO;5680670.00;5294985.93;SIM
Reinhold Stephanes;PSD;PR;Não estava no cargo;7109370.55;0.00;Abstenção
Remídio Monai;PR;RR;SIM;450000.00;38191.09;NÃO
Renata Abreu;PODE;SP;SIM;8477403.00;433619.87;SIM
Renato Andrade;PP;MG;Não estava no cargo;NaN;NaN;NÃO
Renato Molling;PP;RS;SIM;3866168.98;2311239.02;NÃO
Renzo Braz;PP;MG;SIM;5759524.37;2279574.56;NÃO
Ricardo Izar;PP;SP;SIM;8980140.00;1784806.11;NÃO
Ricardo Teobaldo;PODE;PE;NÃO;1770680.00;764076.46;NÃO
Ricardo Tripoli;PSDB;SP;SIM;6854767.00;1832759.24;SIM
Roberto Alves;PRB;SP;SIM;5692903.00;795986.42;NÃO
Roberto Balestra;PP;GO;SIM;9956920.00;3021727.33;NÃO
Roberto Britto;PP;BA;NÃO;2720550.00;1775898.62;NÃO
Roberto de Lucena;PV;SP;SIM;6883020.00;764527.46;NÃO
Roberto Freire;PPS;SP;Não estava no cargo;NaN;NaN;SIM
Roberto Góes;PDT;AP;NÃO;9800000.00;3789119.92;NÃO
Roberto Sales;PRB;RJ;SIM;8277194.25;342078.06;NÃO
Rocha;PSDB;AC;SIM;5199930.00;1676777.51;SIM
Rodrigo de Castro;PSDB;MG;SIM;6271488.38;2157138.59;NÃO
Rodrigo Maia;DEM;RJ;SIM;3589900.00;290048.85;presidente
Rodrigo Martins;PSB;PI;SIM;9715956.06;1284384.89;SIM
Rodrigo Pacheco;PMDB;MG;SIM;7209719.00;101043.20;Abstenção
Rogério Marinho;PSDB;RN;SIM;7922330.00;1250833.62;NÃO
Rogério Peninha Mendonça;PMDB;SC;SIM;7487154.00;1197412.31;NÃO
Rogério Rosso;PSD;DF;SIM;4690382.36;1703892.89;NÃO
Rogério Silva;PMDB;MT;Não estava no cargo;NaN;NaN;NÃO
Rômulo Gouveia;PSD;PB;SIM;9970993.00;646124.36;NÃO
Ronaldo Benedet;PMDB;SC;SIM;8392267.80;2156243.46;NÃO
Ronaldo Carletto;PP;BA;NÃO;9802665.00;486465.74;Abstenção
Ronaldo Fonseca;PROS;DF;SIM;2221660.00;1184584.61;NÃO
Ronaldo Lessa;PDT;AL;NÃO;8897646.53;2973465.68;SIM
Ronaldo Martins;PRB;CE;SIM;7103417.00;0.00;SIM
Ronaldo Nogueira;PTB;RS;SIM;0.00;1197601.94;NÃO
Rôney Nemer;PP;DF;SIM;4063685.80;255993.24;Abstenção
Rosangela Gomes;PRB;RJ;SIM;2326475.24;13862.72;NÃO
Rubens Bueno;PPS;PR;SIM;9216095.00;3207648.85;SIM
Rubens Otoni;PT;GO;NÃO;7257710.46;249633.68;SIM
Rubens Pereira Júnior;PCdoB;MA;NÃO;6308379.62;1406747.35;SIM
Sabino Castelo Branco;PTB;AM;Não estava no cargo;NaN;NaN;NÃO
Ságuas Moraes;PT;MT;NÃO;7581648.00;1682181.19;SIM
Sandro Alex;PSD;PR;SIM;4790560.55;1847811.01;SIM
Saraiva Felipe;PMDB;MG;SIM;5398629.44;1359432.13;NÃO
Sebastião Oliveira;PR;PE;Abstenção;NaN;NaN;NÃO
Sérgio Brito;PSD;BA;NÃO;3680599.00;1076841.77;SIM
Sérgio Moraes;PTB;RS;SIM;9348663.00;3932688.27;NÃO
Sérgio Reis;PRB;SP;SIM;0.00;5188383.49;SIM
Sergio Souza;PMDB;PR;SIM;8461168.00;1445622.08;NÃO
Sérgio Vidigal;PDT;ES;SIM;6048046.00;1831805.09;SIM
Sergio Zveiter;PMDB;RJ;SIM;NaN;NaN;SIM
Shéridan;PSDB;RR;SIM;10757304.00;840866.29;Abstenção
Silas Câmara;PRB;AM;SIM;7535719.00;0.00;NÃO
Silas Freire;PODE;PI;Não estava no cargo;0.00;405750.00;SIM
Silvio Costa;PTdoB;PE;NÃO;6160124.00;0.00;SIM
Silvio Torres;PSDB;SP;SIM;9497353.00;1392397.14;SIM
Simão Sessim;PP;RJ;SIM;10666153.00;202692.47;NÃO
Simone Morgado;PMDB;PA;NÃO;7177127.87;1182223.55;NÃO
Soraya Santos;PMDB;RJ;SIM;5066700.00;81341.80;NÃO
Sóstenes Cavalcante;DEM;RJ;SIM;9945101.03;679330.68;SIM
Stefano Aguiar;PSD;MG;SIM;9001298.52;6529535.18;SIM
Subtenente Gonzaga;PDT;MG;SIM;1477100.00;2820005.17;SIM
Tadeu Alencar;PSB;PE;SIM;5917580.00;1132708.02;SIM
Takayama;PSC;PR;SIM;8218554.23;3143278.92;NÃO
Tenente Lúcio;PSB;MG;SIM;7234800.00;2826353.30;NÃO
Tereza Cristina;PSB;MS;SIM;6274745.00;848346.61;NÃO
Thiago Peixoto;PSD;GO;SIM;6877550.54;2586213.01;NÃO
Tiririca;PR;SP;SIM;6867834.00;3563712.51;SIM
Toninho Pinheiro;PP;MG;SIM;9710775.60;369986.03;NÃO
Toninho Wandscheer;PROS;PR;SIM;8765763.00;1833993.80;NÃO
Uldurico Junior;PV;BA;SIM;6860943.00;745196.05;SIM
Vaidon Oliveira;DEM;CE;Outro;NaN;NaN;NÃO
Valadares Filho;PSB;SE;SIM;0.00;1155861.08;SIM
Valdir Colatto;PMDB;SC;SIM;8409877.78;2589329.71;NÃO
Valmir Assunção;PT;BA;NÃO;6571040.00;5831778.49;SIM
Valmir Prascidelli;PT;SP;NÃO;6766053.00;2157679.21;SIM
Vander Loubet;PT;MS;NÃO;9195453.00;0.00;SIM
Vanderlei Macris;PSDB;SP;SIM;4827153.00;2481368.10;SIM
Veneziano Vital do Rêgo;PMDB;PB;SIM;0.00;268429.05;SIM
Vicente Candido;PT;SP;NÃO;6390981.58;943471.13;SIM
Vicentinho;PT;SP;NÃO;7636098.00;2076948.06;SIM
Vicentinho Júnior;PR;TO;NÃO;5813513.00;1977011.32;Abstenção
Victor Mendes;PSD;MA;SIM;9527373.00;0.00;NÃO
Vinicius Carvalho;PRB;SP;SIM;7530684.52;305195.46;NÃO
Vinicius Gurgel;PR;AP;Abstenção;10071925.00;695991.63;NÃO
Vitor Lippi;PSDB;SP;SIM;3186651.10;2132687.63;SIM
Vitor Valim;PMDB;CE;SIM;10722953.00;799650.82;SIM
Wadih Damous;PT;RJ;NÃO;NaN;NaN;SIM
Waldenor Pereira;PT;BA;NÃO;9784475.00;3273318.21;SIM
Waldir Maranhão;PP;MA;NÃO;3783000.00;534320.96;SIM
Walney Rocha;PEN;RJ;Não estava no cargo;7207100.00;1572470.54;NÃO
Walter Alves;PMDB;RN;SIM;6237435.00;904938.96;NÃO
Walter Ihoshi;PSD;SP;Não estava no cargo;NaN;NaN;NÃO
Weliton Prado;PMB;MG;SIM;3268578.00;689450.06;SIM
Wellington Roberto;PR;PB;NÃO;6441750.00;1045698.28;SIM
Weverton Rocha;PDT;MA;NÃO;5720573.17;0.00;SIM
Wilson Filho;PTB;PB;SIM;8135957.54;1268562.27;Abstenção
Wladimir Costa;SD;PA;SIM;6663910.00;300238.30;NÃO
Wolney Queiroz;PDT;PE;NÃO;8091668.44;0.00;SIM
Yeda Crusius;PSDB;RS;Não estava no cargo;NaN;NaN;NÃO
Zé Augusto Nalin;PMDB;RJ;Não estava no cargo;NaN;NaN;NÃO
Zé Carlos;PT;MA;NÃO;7285613.00;100660.64;SIM
Zé Geraldo;PT;PA;NÃO;9899641.21;360448.20;SIM
Zé Silva;SD;MG;SIM;8932419.00;2948976.64;NÃO
Zeca Cavalcanti;PTB;PE;NÃO;5397650.00;1217218.38;NÃO
Zeca Dirceu;PT;PR;NÃO;10169102.78;2031080.93;SIM
Zeca do PT;PT;MS;NÃO;7197626.76;325902.90;SIM
Zenaide Maia;PR;RN;NÃO;3362053.24;1454118.89;SIM
