deputado;partido;uf;impeachment_dilma;emendas_prometidas;emendas_pagas;voto_temer
Carlos Henrique Gaguim;PODE;TO;SIM;7516630.00;1735402.06;NÃO
Carlos Manato;SD;ES;SIM;3339538.00;3988134.92;SIM
Carlos Marun;PMDB;MS;SIM;5874910.00;384764.41;NÃO
Carlos Melles;DEM;MG;SIM;6030551.54;1892904.05;NÃO
Carlos Sampaio;PSDB;SP;SIM;7572094.00;2845114.58;SIM
Carlos Zarattini;PT;SP;NÃO;8085087.76;2491096.68;SIM
Carmen Zanotto;PPS;SC;SIM;5276058.55;1896004.62;SIM
Célio Silveira;PSDB;GO;SIM;7564792.55;633059.15;NÃO
Celso Jacob;PMDB;RJ;Não estava no cargo;3936910.00;1667092.60;NÃO
Celso Maldaner;PMDB;SC;SIM;8860750.00;2576215.04;NÃO
Celso Pansera;PMDB;RJ;NÃO;4685253.00;0.00;SIM
Celso Russomano;PRB;SP;SIM;2175512.83;3977175.32;NÃO
César Halum;PRB;TO;SIM;9469200.00;487634.89;SIM
César Messias;PSB;AC;NÃO;5419724.00;208200.87;SIM
Cesar Souza;PSD;SC;SIM;9500000.00;934641.72;NÃO
Chico Alencar;PSOL;RJ;NÃO;510779.89;966208.02;SIM
Chico D'Angelo;PT;RJ;NÃO;2837752.50;236392.63;SIM
Chico Lopes;PCdoB;CE;NÃO;9160411.80;670739.32;SIM
Christiane de Souza Yared;PR;PR;SIM;9150072.00;3237416.12;SIM
Cícero Almeida;PMDB;AL;SIM;4878231.00;0.00;NÃO
Claudio Cajado;DEM;BA;SIM;5877058.92;2021882.06;NÃO
Cleber Verde;PRB;MA;SIM;7106838.00;511730.20;NÃO
Conceição Sampaio;PP;AM;SIM;1419904.49;2484427.12;SIM
Covatti Filho;PP;RS;SIM;9712452.78;1229281.57;NÃO
Cristiane Brasil;PTB;RJ;SIM;4958100.00;181877.76;NÃO
Dagoberto Nogueira;PDT;MS;NÃO;6030069.00;0.00;SIM
Damião Feliciano;PDT;PB;NÃO;9350712.55;1099683.98;SIM
Dâmina Pereira;PSL;MG;SIM;9360003.00;885170.69;NÃO
Daniel Almeida;PCdoB;BA;NÃO;5671107.64;2709721.82;SIM
Daniel Coelho;PSDB;PE;SIM;5969325.42;165195.24;SIM
Daniel Vilela;PMDB;GO;SIM;3457913.40;1151710.29;NÃO
Danilo Cabral;PSB;PE;SIM;9494443.00;178418.73;SIM
Danilo Forte;PSB;CE;SIM;8489000.00;229989.81;NÃO
Danrlei de Deus Hinterholz;PSD;RS;SIM;6314378.00;3121415.59;SIM
Darcísio Perondi;PMDB;RS;SIM;6970267.80;2283550.28;NÃO
Décio Lima;PT;SC;NÃO;7821950.37;2284109.04;SIM
Dejorge Patrício;PRB;RJ;Não estava no cargo;NaN;NaN;Abstenção
Delegado (Fernando) Francischini;SD;PR;SIM;4409729.00;2277017.09;SIM
Delegado Éder Mauro;PSD;PA;SIM;7332998.52;495820.67;NÃO
Delegado Edson Moreira;PR;MG;SIM;6451199.01;1398336.92;NÃO
Delegado Waldir;PR;GO;SIM;2309370.38;3317655.41;Abstenção
Deley;PTB;RJ;SIM;5809190.90;2341707.25;SIM
Deoclides Macedo;PDT;MA;Não estava no cargo;NaN;NaN;SIM
Diego Andrade;PSD;MG;SIM;4640026.25;1144267.33;NÃO
Diego Garcia;PHS;PR;SIM;6812314.55;2912222.88;SIM
Dilceu Sperafico;PP;PR;SIM;8870469.00;1165744.50;NÃO
Dimas Fabiano;PP;MG;SIM;8667300.52;2553532.51;NÃO
Domingos Neto;PSD;CE;NÃO;10722953.00;106242.17;NÃO
Domingos Sávio;PSDB;MG;SIM;7900200.00;3416671.57;NÃO
Dr. Jorge Silva;PHS;ES;SIM;5089055.65;370823.48;SIM
Dr. Sinval Malheiros;PODE;SP;SIM;7380203.00;4122645.06;NÃO
Dulce Miranda;PMDB;TO;SIM;6791329.00;361251.10;NÃO
Edio Lopes;PR;RR;NÃO;6150000.00;765294.48;NÃO
Edmar Arruda;PSD;PR;Não estava no cargo;7631223.00;1505468.22;NÃO
Edmilson Rodrigues;PSOL;PA;NÃO;3021512.67;921960.37;SIM
Eduardo Barbosa;PSDB;MG;SIM;6253186.00;275196.55;Abstenção
Eduardo Bolsonaro;PSC;SP;SIM;3247815.14;844402.99;SIM
Eduardo Cury;PSDB;SP;SIM;7675177.61;384111.04;SIM
Eduardo da Fonte;PP;PE;SIM;3072893.00;4400335.48;NÃO
Efraim Filho;DEM;PB;SIM;6351960.00;1210040.94;NÃO
Elcione Barbalho;PMDB;PA;NÃO;3438330.00;4027395.68;NÃO
Eli Corrêa Filho;DEM;SP;SIM;7139643.00;1167676.98;NÃO
Elizeu Dionizio;PSDB;MS;SIM;2659680.00;0.00;NÃO
Eliziane Gama;PPS;MA;SIM;4644638.00;1389043.36;SIM
Elmar Nascimento;DEM;BA;SIM;2553638.00;1824576.09;NÃO
Enio Verri;PT;PR;NÃO;9319388.00;0.00;SIM
Erika Kokay;PT;DF;NÃO;2299000.00;519317.54;SIM
Erivelton Santana;PEN;BA;SIM;6419180.00;1445145.26;NÃO
Eros Biondini;PROS;MG;SIM;8032038.00;4207734.94;SIM
Esperidião Amin;PP;SC;SIM;5664034.00;1812632.24;SIM
Evair Vieira de Melo;PV;ES;SIM;2218360.00;941875.18;SIM
Evandro Gussi;PV;SP;SIM;5011100.00;1200152.24;NÃO
Evandro Roman;PSD;PR;SIM;4914011.17;1534301.10;NÃO
Expedito Netto;PSD;RO;SIM;5688974.00;3997204.58;SIM
Ezequiel Fonseca;PP;MT;Não estava no cargo;6471700.00;638639.53;NÃO
Ezequiel Teixeira;PODE;RJ;SIM;6500000.00;867281.46;NÃO
Fábio Faria;PSD;RN;SIM;7956790.34;1233686.49;NÃO
Fabio Garcia;PSB;MT;SIM;7542953.00;2181879.43;NÃO
Fábio Mitidieri;PSD;SE;NÃO;6777160.00;0.00;SIM
Fábio Ramalho;PMDB;MG;SIM;5578659.41;445595.60;NÃO
Fábio Reis;PMDB;SE;SIM;9873005.16;827260.95;NÃO
Fábio Sousa;PSDB;GO;SIM;5327950.00;557318.21;SIM
Fausto Pinato;PP;SP;SIM;9007550.00;1104985.93;NÃO
Felipe Bornier;PROS;RJ;SIM;9274539.00;0.00;SIM
Felipe Maia;DEM;RN;SIM;7596397.93;1615292.44;NÃO
Félix Mendonça Júnior;PDT;BA;NÃO;6503652.99;4569091.39;SIM
Fernando Coelho Filho;PSB;PE;SIM;4750846.00;2529778.62;NÃO
Fernando Monteiro;PP;PE;Não estava no cargo;3972500.00;253365.59;NÃO
Fernando Torres;PSD;BA;NÃO;7837998.00;276307.68;SIM
Flávia Morais;PDT;GO;SIM;8258038.00;2227577.42;SIM
Flaviano Melo;PMDB;AC;SIM;5672953.00;1643816.13;NÃO
Flavinho;PSB;SP;SIM;3049337.00;7759168.62;SIM
Francisco Chapadinha;PODE;PA;SIM;4398635.00;1344394.70;NÃO
Francisco Floriano;DEM;RJ;SIM;9722953.00;865367.69;NÃO
Franklin Lima;PP;MG;SIM;5265399.00;653519.73;NÃO
Gabriel Guimarães;PT;MG;NÃO;6028861.43;2449268.39;SIM
Genecias Noronha;SD;CE;SIM;8958513.49;981268.91;NÃO
George Hilton;PSB;MG;NÃO;4230894.25;0.00;SIM
Geovania de Sá;PSDB;SC;SIM;10050112.54;2510304.88;SIM
Geraldo Resende;PSDB;MS;SIM;3451700.00;1959856.48;NÃO
Giacobo;PR;PR;SIM;10682340.00;1200848.41;NÃO
Gilberto Nascimento;PSC;SP;SIM;8519473.00;4476700.46;Abstenção
Giovani Cherini;PR;RS;SIM;7620145.38;1619643.94;Abstenção
Giuseppe Vecci;PSDB;GO;SIM;6828262.10;1471007.94;NÃO
Givaldo Carimbão;PHS;AL;NÃO;2459698.00;12858.17;SIM
Givaldo Vieira;PT;ES;NÃO;6029466.00;2558052.93;SIM
Glauber Braga;PSOL;RJ;NÃO;3781190.00;1603657.25;SIM
Gonzaga Patriota;PSB;PE;SIM;9147998.00;1196537.68;SIM
Gorete Pereira;PR;CE;Abstenção;8218525.54;176796.30;NÃO
Goulart;PSD;SP;SIM;7973758.00;520595.35;NÃO
Guilherme Mussi;PP;SP;SIM;8420675.44;3471795.74;NÃO
Heitor Schuch;PSB;RS;SIM;8102565.00;4697321.46;SIM
Helder Salomão;PT;ES;NÃO;6520886.00;762212.66;SIM
Hélio Leite;DEM;PA;SIM;5764781.66;543263.32;NÃO
Henrique Fontana;PT;RS;NÃO;6365115.80;2278463.64;SIM
Heráclito Fortes;PSB;PI;SIM;8318459.00;510115.76;NÃO
Herculano Passos;PSD;SP;SIM;7872390.00;889062.69;NÃO
Hermes Parcianello;PMDB;PR;SIM;7923758.98;5505613.42;NÃO
Heuler Cruvinel;PSD;GO;SIM;0.00;2022200.78;NÃO
Hildo Rocha;PMDB;MA;SIM;9199964.00;1103566.38;NÃO
Hiran Gonçalves;PP;RR;SIM;6465890.00;145710.94;NÃO
Hissa Abrahão;PDT;AM;SIM;4103108.00;1071007.38;SIM
Hugo Leal;PSB;RJ;SIM;5709410.80;1467394.29;SIM
Hugo Motta;PMDB;PB;SIM;8547980.54;1129613.36;NÃO
Iracema Portella;PP;PI;SIM;10116935.12;716430.39;NÃO
Irajá Abreu;PSD;TO;NÃO;7125018.00;3487439.12;SIM
Irmão Lázaro;PSC;BA;SIM;7254579.00;435243.35;SIM
Ivan Valente;PSOL;SP;NÃO;2749955.00;5804879.91;SIM
Izalci Lucas;PSDB;DF;SIM;7676769.00;2144261.67;NÃO
Izaque Silva;PSDB;SP;Não estava no cargo;NaN;NaN;SIM
Jaime Martins;PSD;MG;SIM;6638980.54;1327415.91;NÃO
Jair Bolsonaro;PSC;RJ;SIM;2621077.00;230227.89;SIM
Jandira Feghali;PCdoB;RJ;NÃO;4403114.98;3231867.58;SIM
Janete Capiberibe;PSB;AP;NÃO;4450140.00;1464930.61;SIM
Jarbas Vasconcelos;PMDB;PE;SIM;7485885.00;369032.63;SIM
Jean Wyllys;PSOL;RJ;NÃO;200000.00;2096581.42;SIM
Jefferson Campos;PSD;SP;SIM;6471698.52;1683639.28;SIM
Jerônimo Goergen;PP;RS;SIM;8994332.17;1936582.85;SIM
Jéssica Sales;PMDB;AC;SIM;5712699.00;800588.49;NÃO
JHC;PSB;AL;SIM;3994774.78;0.00;SIM
Jhonatan de Jesus;PRB;RR;SIM;9180953.00;2101.67;NÃO
Jô Moraes;PCdoB;MG;NÃO;4152979.74;991065.23;SIM
João Arruda;PMDB;PR;SIM;7913360.00;1548512.37;NÃO
João Campos;PRB;GO;SIM;6077630.00;4465080.77;NÃO
João Carlos Bacelar;PR;BA;NÃO;6852769.00;447105.26;NÃO
João Daniel;PT;SE;NÃO;8206642.05;1591930.66;SIM
João Derly;Rede;RS;SIM;8301835.00;2068166.91;SIM
João Fernando Coutinho;PSB;PE;SIM;5473745.00;1083818.32;Abstenção
