"area","value"
"ADVOGADO",42.17256124
"ANALISTA LEGISLATIVO",3330.63228795
"AUXILIAR LEGISLATIVO",77.25972892
"CARGO EM COMISSÃO",773.67466871
"CARGO ISOLADO",6.86246664
"CONSULTOR LEGISLATIVO",511.08530283
"IPC ",12.47854499
"SECRETÁRIO PARLAMENTAR",7.1071824
"TECNICO LEGISLATIVO",3119.19319143
