area,value
 APOSENTADORIA PARLAMENTAR,1.49574797
 CARGO DE NATUREZA ESPECIAL,0.55962438
 INATIVO,2.86145309
 PARLAMENTAR,512.84092969
 PENSAO CIVIL,1.18909502
 QUADRO EFETIVO,3178.85190295
 SECRETARIO PARLAMENTAR,0.81600529
 SECRETARIO PARLAMENTAR REQUISITADO,0.03253043
